Cell,Type,Axis,Mean (Offset),Std (Noise),Threshold (3xStd)
01,Raw,X,33117.37867659168,2.056095774206116,6.168287322618348
01,Raw,Y,33196.889545798884,2.190087739418137,6.570263218254411
01,Raw,Z,37906.02821053325,2.4415924248699374,7.324777274609812
01,Force,X,0.034440365435921085,0.004138765625777723,0.012416296877333168
01,Force,Y,-0.009764659760877441,0.0037952072691533364,0.011385621807460009
01,Force,Z,0.03739808619610685,0.0035865643572929365,0.01075969307187881
02,Raw,X,32877.87674977768,2.163053815786975,6.4891614473609245
02,Raw,Y,33385.9432001581,2.33398799861092,7.00196399583276
02,Raw,Z,37399.4023253516,2.1304464085622214,6.391339225686664
02,Force,X,0.0384935152004216,0.004052433602971517,0.01215730080891455
02,Force,Y,-0.004985962912947531,0.003052813524870478,0.009158440574611433
02,Force,Z,-0.005278375382892527,0.002159175091361079,0.006477525274083237
03,Raw,X,32793.42867494483,2.05882201790779,6.17646605372337
03,Raw,Y,33192.485623003195,2.0301320656168045,6.0903961968504134
03,Raw,Z,37528.237179276046,2.4936278603300077,7.480883580990023
03,Force,X,0.02285817973716281,0.00359573277066539,0.01078719831199617
03,Force,Y,-0.005654972826981983,0.0026666727229830932,0.00800001816894928
03,Force,Z,0.009085197292579296,0.0023428529978586883,0.007028558993576065
04,Raw,X,32420.073680050064,1.9647339310262308,5.894201793078692
04,Raw,Y,33281.955535061425,2.271815557445614,6.815446672336842
04,Raw,Z,37720.117091004904,2.4068180572715305,7.220454171814591
04,Force,X,0.029626509502322054,0.002834214619281079,0.008502643857843236
04,Force,Y,-0.013564310299397251,0.00340866374209924,0.01022599122629772
04,Force,Z,0.001053603800928823,0.0028257186876248877,0.008477156062874663
05,Raw,X,33295.21412338197,1.9236447728425612,5.770934318527684
05,Raw,Y,32782.764418168044,2.02925830921557,6.08777492764671
05,Raw,Z,37490.94860182471,2.491433236659407,7.4742997099782205
05,Force,X,0.025532910147887094,0.003927863788348316,0.011783591365044947
05,Force,Y,-0.013532967952307236,0.004698540294401166,0.014095620883203498
05,Force,Z,0.00460929350153157,0.00343772604375244,0.01031317813125732
06,Raw,X,32875.27754355917,1.9946820534003051,5.984046160200915
06,Raw,Y,32783.93923125062,2.467676019592106,7.403028058776318
06,Raw,Z,37031.74574289384,2.1778958453436257,6.533687536030877
06,Force,X,0.043081324231744676,0.004070785422878121,0.012212356268634362
06,Force,Y,-0.0187993832548335,0.004979961550421588,0.014939884651264765
06,Force,Z,0.0012237128223708048,0.002542785839300961,0.007628357517902883
07,Raw,X,32852.440367576826,2.401418335492032,7.204255006476096
07,Raw,Y,32867.291574717565,2.734538634840031,8.203615904520092
07,Raw,Z,37104.669526695434,2.1666072284136817,6.499821685241045
07,Force,X,0.029634705872665593,0.0038741594950807965,0.01162247848524239
07,Force,Y,-0.007691100918942062,0.004695280590011692,0.014085841770035076
07,Force,Z,0.0008917420374822963,0.002156379481165144,0.006469138443495432
08,Raw,X,32150.8307368005,2.2866398438842888,6.859919531652866
08,Raw,Y,32833.29738809657,2.295456983684218,6.886370951052653
08,Raw,Z,37316.65803168539,2.3633700552842796,7.090110165852838
08,Force,X,0.023414640657422353,0.00323143348360426,0.00969430045081278
08,Force,Y,-0.013341477882810182,0.003991524239609754,0.011974572718829261
08,Force,Z,0.006589880768090643,0.003416085773625229,0.010248257320875687
09,Raw,X,33364.4887190804,2.411997446887596,7.235992340662788
09,Raw,Y,32775.324528177596,1.8597021677024377,5.5791065031073135
09,Raw,Z,37419.30534238003,2.4382325332208694,7.314697599662608
09,Force,X,0.022699145779124536,0.004643349662402857,0.013930048987208572
09,Force,Y,-0.020380025690853395,0.004358395696382809,0.013075187089148427
09,Force,Z,0.008791887783669839,0.0026720888079885966,0.00801626642396579
10,Raw,X,32973.522463028225,2.1768173048892367,6.53045191466771
10,Raw,Y,32643.870886993183,2.263019055312457,6.789057165937372
10,Raw,Z,36874.39188432528,2.303044635882609,6.909133907647828
10,Force,X,0.03618456572576661,0.0037342386587744967,0.01120271597632349
10,Force,Y,-0.007309413392180759,0.0038814561730527684,0.011644368519158305
10,Force,Z,0.010954482889232899,0.002274281934354992,0.006822845803064977
11,Raw,X,32782.15261355028,2.262980967713278,6.7889429031398345
11,Raw,Y,32808.719557985576,2.0982989783173287,6.294896934951986
11,Raw,Z,37062.91573070716,2.2815699866179404,6.844709959853821
11,Force,X,0.03039336023187642,0.0037883037912088274,0.011364911373626482
11,Force,Y,-0.01818271351404763,0.0037317677102695055,0.011195303130808517
11,Force,Z,0.00995523582885939,0.0026553275972764734,0.00796598279182942
12,Raw,X,32231.60175883535,2.2822762825860012,6.846828847758004
12,Raw,Y,32831.310447613716,1.8960723560629622,5.688217068188886
12,Raw,Z,37519.706284377986,2.2430986679453477,6.729296003836043
12,Force,X,0.024528852804584833,0.0035048878073865356,0.010514663422159606
12,Force,Y,-0.013390814861170582,0.003810946879936813,0.011432840639810439
12,Force,Z,0.01726984074964593,0.0031937024753886127,0.009581107426165837
13,Raw,X,33207.533793353316,2.1881532892271536,6.56445986768146
13,Raw,Y,32235.647574190574,2.3377329068187493,7.0131987204562485
13,Raw,Z,37141.7498106123,2.2906834834885963,6.872050450465789
13,Force,X,0.02333518033002865,0.0032273552233544806,0.009682065670063442
13,Force,Y,-0.013637669707848887,0.003417930315866817,0.010253790947600452
13,Force,Z,0.016171915944797603,0.0026537537458430726,0.007961261237529218
14,Raw,X,32885.946312703796,2.233318562982395,6.699955688947185
14,Raw,Y,32585.74129639999,2.673091926554764,8.01927577966429
14,Raw,Z,37183.35667468134,2.026622923720567,6.079868771161701
14,Force,X,0.030064749843549295,0.004603126263892593,0.013809378791677778
14,Force,Y,-0.022284040545436583,0.0038683339415520514,0.011605001824656154
14,Force,Z,0.006425332169559633,0.0023175009267670764,0.006952502780301229
15,Raw,X,32835.2953460031,2.164863817674786,6.494591453024358
15,Raw,Y,32462.69424590758,2.2807805889047055,6.842341766714116
15,Raw,Z,37445.74317380851,2.5071671418269097,7.521501425480729
15,Force,X,0.04419933664899048,0.004539781177971842,0.013619343533915525
15,Force,Y,-0.01842320789829057,0.0032626197041450812,0.009787859112435245
15,Force,Z,0.008908143835842033,0.0025592745452996755,0.007677823635899026
16,Raw,X,32323.022232469288,2.009301728904647,6.027905186713941
16,Raw,Y,32424.502272652415,2.2423122778604156,6.726936833581247
16,Raw,Z,37669.25489937749,2.3713564493026937,7.114069347908082
16,Force,X,0.029246775303843748,0.0031603324227794183,0.009480997268338256
16,Force,Y,-0.020801917262277262,0.003097243703201329,0.009291731109603987
16,Force,Z,0.012168466288989164,0.002867904403366398,0.008603713210099194
GLOBAL,Raw,X,32811.630236981655,2.1659944166677785,6.497983250003335
GLOBAL,Raw,Y,32818.27358288594,2.2624294549098773,6.787288364729632
GLOBAL,Raw,Z,37363.389406845956,2.3249942801988603,6.9749828405965815
GLOBAL,Force,X,0.03048338234083199,0.0038430382025397953,0.011529114607619385
GLOBAL,Force,Y,-0.01385903991757518,0.003846250677539546,0.011538752032618638
GLOBAL,Force,Z,0.009138652907924637,0.0027653135596914027,0.008295940679074208
