Cell,Type,Axis,Mean,Std (Noise),Threshold (3xStd)
01,Raw,X,33097.174820913955,2.0140312973451966,6.04209389203559
01,Raw,Y,33201.238369699466,1.976138029198555,5.928414087595665
01,Raw,Z,37893.74015644298,2.2668719403492896,6.800615821047868
01,Force,X,-0.005848706463565253,0.004065880733065109,0.012197642199195325
01,Force,Y,-0.0025564164676821744,0.003425424346830358,0.010276273040491075
01,Force,Z,0.004632401811445039,0.0033807885461128897,0.010142365638338669
02,Raw,X,32858.36199258954,2.242409849165851,6.7272295474975525
02,Raw,Y,33389.57969534788,2.2859579582825598,6.857873874847679
02,Raw,Z,37392.319884726225,2.2626775050842793,6.788032515252838
02,Force,X,0.0017083841910251131,0.0042206954203833765,0.012662086261150129
02,Force,Y,-0.00035887772745986005,0.0030621339176766945,0.009186401753030083
02,Force,Z,-0.011401227171675587,0.0022254566914517602,0.006676370074355281
03,Raw,X,32775.282519555374,2.073508705636123,6.22052611690837
03,Raw,Y,33197.54707286949,1.981846887097198,5.945540661291593
03,Raw,Z,37515.778624948536,2.2841544223605874,6.852463267081762
03,Force,X,-0.00819976220666941,0.0035970785894392965,0.01079123576831789
03,Force,Y,0.0008817966241251541,0.002600057925343667,0.007800173776031
03,Force,Z,0.0005680347468093866,0.002093338505872703,0.006280015517618108
04,Raw,X,32400.749740634004,2.2509752711983384,6.752925813595015
04,Raw,Y,33287.24382050226,2.1246635665723015,6.373990699716904
04,Raw,Z,37708.545162618364,2.443982080102914,7.331946240308742
04,Force,X,0.003109696171263895,0.003250352283366087,0.00975105685009826
04,Force,Y,-0.0058304981473857554,0.003137752866993904,0.009413258600981711
04,Force,Z,-0.003983991766158913,0.0027640347823504317,0.008292104347051295
05,Raw,X,33274.28009880609,2.1714700667883573,6.514410200365072
05,Raw,Y,32788.89796624125,2.194564995598529,6.583694986795587
05,Raw,Z,37487.85091807328,2.2086630569496166,6.62598917084885
05,Force,X,-0.01596607822149032,0.004457312270620978,0.013371936811862932
05,Force,Y,-0.0007096327706875257,0.005045563453769708,0.015136690361309123
05,Force,Z,0.00932083491148621,0.0032041337337614774,0.009612401201284433
06,Raw,X,32856.44839851791,2.241458168315011,6.7243745049450325
06,Raw,Y,32789.23720049403,2.1480945184067153,6.444283555220146
06,Raw,Z,37020.98191848498,2.197183623800298,6.591550871400894
06,Force,X,0.005892817949773569,0.004576588516891349,0.013729765550674046
06,Force,Y,-0.006452678962536022,0.004397288502318589,0.013191865506955766
06,Force,Z,-0.010633606257719225,0.0025546905534626603,0.007664071660387981
07,Raw,X,32833.93640181144,1.992387130661032,5.9771613919830955
07,Raw,Y,32873.026282420746,2.233990365093078,6.701971095279234
07,Raw,Z,37094.427254014,2.2533666218458586,6.760099865537576
07,Force,X,0.0007742651296829971,0.0032453019798739753,0.009735905939621925
07,Force,Y,0.0030946328530259367,0.00389384501181207,0.01168153503543621
07,Force,Z,-0.010569551914368052,0.0022177441607554474,0.006653232482266342
08,Raw,X,32133.734573898724,2.1242444694287537,6.372733408286261
08,Raw,Y,32839.13325648415,2.1024172356666497,6.307251706999949
08,Raw,Z,37309.147254013995,2.693830565908976,8.081491697726928
08,Force,X,-0.00031345113215314944,0.003021982143580393,0.009065946430741179
08,Force,Y,-0.0014740866200082339,0.0036950181952929797,0.01108505458587894
08,Force,Z,0.0009188503911074517,0.003715547096374526,0.011146641289123578
09,Raw,X,33343.49193906958,2.024068438284337,6.0722053148530115
09,Raw,Y,32781.385738987236,2.076371257828999,6.229113773486997
09,Raw,Z,37412.75489501852,2.0547070312782183,6.164121093834655
09,Force,X,-0.016170391601482093,0.0038428412530464337,0.0115285237591393
09,Force,Y,-0.0060993877315767804,0.004781598720334914,0.01434479616100474
09,Force,Z,-0.0034569212021407984,0.002324308653588341,0.006972925960765024
10,Raw,X,32954.9045697818,1.959515410416312,5.878546231248936
10,Raw,Y,32649.50119390696,2.038805582615565,6.116416747846696
10,Raw,Z,36872.45037463977,2.3368639540481775,7.0105918621445324
10,Force,X,0.004763052943598189,0.0033834306796116484,0.010150292038834946
10,Force,Y,0.002607560312885961,0.0035243092008502854,0.010572927602550856
10,Force,Z,0.00861243524083985,0.0023259239631600367,0.00697777188948011
11,Raw,X,32763.27930835735,2.006755482664956,6.020266447994868
11,Raw,Y,32814.820008233844,2.059617538631648,6.178852615894944
11,Raw,Z,37055.0386167147,2.3136368663011937,6.9409105989035815
11,Force,X,3.8498641416220616e-05,0.0033660693463880096,0.010098208039164029
11,Force,Y,-0.007504363606422396,0.0036913837223788663,0.011074151167136599
11,Force,Z,0.001996345821325648,0.0026666130173224885,0.007999839051967465
